As,Ge,S,Se,annealing
0.0,0.0,0.0,100.0,306.0
0.0,10.0,0.0,90.0,356.0
0.0,12.0,0.0,88.0,368.0
0.0,15.0,0.0,85.0,396.0
0.0,16.0,0.0,84.0,433.0
0.0,20.0,0.0,80.0,410.0
0.0,22.5,0.0,77.5,445.0
0.0,25.0,0.0,75.0,487.0
0.0,30.0,70.0,0.0,658.0
0.0,32.0,68.0,0.0,729.0
0.0,33.0,0.0,67.0,553.0
0.0,33.0,67.0,0.0,737.0
0.0,33.33,66.67,0.0,726.0
0.0,38.0,62.0,0.0,646.0
0.0,40.0,0.0,60.0,808.0
0.0,40.0,60.0,0.0,631.0
0.0,42.0,58.0,0.0,618.0
0.0,43.0,0.0,57.0,573.0
0.0,44.0,56.0,0.0,608.0
0.0,81.0,0.0,19.0,573.0
0.0,87.0,0.0,13.0,573.0
12.0,33.0,0.0,55.0,649.0
12.5,0.0,87.5,0.0,318.5
15.0,0.0,85.0,0.0,326.0
15.0,20.0,0.0,65.0,525.0
15.0,30.0,0.0,55.0,630.0
15.0,35.0,0.0,50.0,645.0
17.5,0.0,82.5,0.0,337.5
20.0,0.0,0.0,80.0,355.0
20.0,0.0,80.0,0.0,351.5
20.0,15.0,0.0,65.0,485.0
20.0,20.0,0.0,60.0,524.0
20.0,30.0,0.0,50.0,544.0
20.0,40.0,0.0,40.0,649.0
25.0,0.0,75.0,0.0,379.4
25.0,10.0,0.0,65.0,449.0
27.0,0.0,73.0,0.0,386.7
28.6,0.0,71.40000000000002,0.0,391.6
30.0,0.0,70.0,0.0,396.4
30.0,20.0,0.0,50.0,541.0
30.0,30.0,0.0,40.0,641.0
30.0,40.0,0.0,30.0,671.0
32.5,0.0,67.5,0.0,403.5
35.0,0.0,65.0,0.0,418.8
36.7,0.0,63.3,0.0,423.4
37.6,0.0,62.4,0.0,432.2
39.0,0.0,61.0,0.0,441.3
40.0,0.0,0.0,60.0,440.0
40.0,0.0,60.0,0.0,445.0
40.0,10.0,0.0,50.0,490.0
40.0,20.0,0.0,40.0,578.0
40.0,30.0,0.0,30.0,656.0
40.6,0.0,59.4,0.0,446.1
41.1,0.0,58.9,0.0,444.2
41.6,0.0,58.4,0.0,445.0
42.1,0.0,57.9,0.0,440.4
42.7,0.0,57.3,0.0,433.5
50.0,0.0,0.0,50.0,431.0
50.0,10.0,0.0,40.0,517.0
